bug_id,Creation Date,Last Modified Date,Importance,Symptom,Title
97533,2020-10-22,2021-04-27,P3 normal ,crash,ICE encountering operator() within lambda expression within templated struct
85464,2018-04-19,2018-04-19,P2 normal ,diagnostic,[7 Regression] Wignored-qualifiers is emitted by cc1plus without diagnostics when triggered by a cast operator.
90951,2019-06-20,2020-02-26,P2 normal ,rejects_valid,[8/9 Regression] error initializing a constexpr array of a struct with const member
93138,2020-01-02,2020-01-06,P3 normal ,others,[10 regression] elaborated type specifier visibility check problem
102592,2021-10-04,2021-10-13,P2 normal ,wrong_output,[11/12 Regression] heap-use-after-free when constructing std::filesystem::path from iterator pair
104173,2022-01-21,2022-01-24,P1 normal ,rejects_valid,[12 Regression] wrong overload resolution for ref-qualifiers
91921,2019-09-26,2020-02-13,P3 normal ,diagnostic,Incomplete -Woverloaded-virtual warning when base class is in system header
89512,2019-02-26,2019-08-30,P2 normal ,crash,"[7 Regression] ICE in get_expr_operands, at tree-ssa-operands.c:882"
92082,2019-10-13,2020-01-27,P3 normal ,others,ICE with concepts
89331,2019-02-13,2019-04-03,P2 normal ,crash,"[8/9 Regression] internal compiler error: in build_simple_base_path, at cp/class.c:589"
87425,2018-09-24,2018-09-25,P3 normal ,crash,[9 Regression] ICE with virtual assignment operator
100474,2021-05-07,2023-05-22,P3 normal ,crash,"ICE: in diagnose_trait_expr, at cp/constraint.cc:3706"
100644,2021-05-18,2022-07-19,P3 normal ,rejects_valid,[11/12 regression] Deleted move constructor prevents templated constructor from being used
82294,2017-09-22,2019-01-08,P3 normal ,others,Array of objects with constexpr constructors initialized from space-inefficient memory image
105925,2022-06-11,2022-06-24,P3 normal ,rejects_valid,"[11/12/13 Regression] Could not convert '{{0, 0.0}}' from '<brace-enclosed initializer list>' to 'X' since "
91466,2019-08-15,2020-01-29,P3 normal ,rejects_valid,"[concepts] indicates ""used in its own initializer"" when not, constraint order change passes compilation."
85067,2018-03-24,2018-03-27,P4 normal ,crash,[8 Regression] ICE with volatile parameter in defaulted copy-constructor
85866,2018-05-22,2018-05-23,P3 normal ,rejects_valid,[8/9 Regression] too few arguments to function when sfinae on calling pointer to member function
83374,2017-12-11,2019-07-05,P3 normal ,accepts_invalid,[DR1813] Bad std::is_standard_layout with two base class subobjects of the same type
79503,2017-02-14,2017-02-20,P3 normal ,rejects_valid,[7 Regression] [new inheriting ctors] spurious bad candidate from same or derived type
79377,2017-02-04,2017-02-15,P2 normal ,crash,[6 Regression] ICE with increment operator in -fpermissive mode
90801,2019-06-09,2024-11-19,P3 normal ,efficient/hang,A recurring hang
85901,2018-05-24,2020-10-15,P3 normal ,diagnostic,"Error message contains ""#'offset_type' not supported by simple_type_specifier#)#'offset_type' not supported by direct_abstract_declarator#"""
82643,2017-10-20,2022-03-11,P3 normal ,rejects_valid,lambda capture breaks constexpr-ness of non-static const constexpr member call on non-constexpr value/variable
91933,2019-09-30,2022-05-13,P2 normal ,rejects_valid,"[9 Regression] ICE: tree check: expected class 'type', have 'exceptional' (error_mark) in build_simple_base_path, at cp/class.c:541"
89212,2019-02-05,2019-02-26,P2 normal ,crash,[8 Regression] ICE in fold_convert_loc at fold-const.c:2552
101040,2021-06-12,2021-07-07,P3 normal ,crash,"[11/12 Regression] Internal compiler error: in get_or_insert_ctor_field, at cp/constexpr.c:3571 since "
88830,2019-01-13,2019-01-14,P1 normal ,crash,[9 Regression] ice in maybe_emit_vtables
92062,2019-10-11,2019-10-22,P3 normal ,wrong_output,[9 Regression] ODR-use by static_assert ignored for static member of class template
103081,2021-11-04,2024-12-19,P3 normal ,crash,"[ICE] with ""using enum"""
80913,2017-05-29,2017-05-30,P3 normal ,others,[8 regression] Infinite loop in cc1plus with stat hack patch
95074,2020-05-12,2021-12-03,P3 normal ,accepts_invalid,Function found via ADL when it should not
99008,2021-02-08,2021-10-14,P2 normal ,crash,"[10 Regression] ICE in set_constraints, at cp/constraint.cc:1256"
89422,2019-02-20,2019-05-01,P2 normal ,crash,"[8 Regression] ICE in field_byte_offset, at dwarf2out.c:19086"
103703,2021-12-14,2022-05-25,P3 normal ,crash,ICE with -Wmismatched-tags with friends and templates
85761,2018-05-12,2018-06-03,P2 normal ,accepts_invalid,[8/9 Regression] ICE on invalid in rtl with uncaptured constexpr
84708,2018-03-05,2018-03-05,P3 normal ,crash,"[8 Regression] internal compiler error: in lambda_expr_this_capture, at cp/lambda.c:772"
105265,2022-04-13,2022-05-13,P2 normal ,wrong_output,[9 Regression] temporary object not destructed causing memory leaks
104300,2022-01-31,2022-02-07,P1 normal ,crash,"[12 Regression] ICE in gimplify_var_or_parm_decl, at gimplify.c:2977 since "
102050,2021-08-24,2021-12-22,P3 normal ,rejects_valid,Nonempty list-initialization rejects constructor with defaulted std::initializer_list
93496,2020-01-29,2020-01-31,P3 normal ,wrong_output,Miscompile of range-for over braced-init-list in constructor of class with virtual inheritance
94124,2020-03-10,2020-03-12,P1 normal ,rejects_valid,[10 Regression] conversion from ‘<brace-enclosed initializer list>’ to ‘F’ is ambiguous since 
97186,2020-09-24,2020-09-24,P3 normal ,others,[11 Regression] ICE: Segmentation fault (in maybe_instantiate_noexcept)
90749,2019-06-04,2020-05-25,P2 normal ,crash,"[8/9/10 Regression] ICE in enclosing_instantiation_of, at cp/pt.c:13462"
92732,2019-11-29,2020-02-14,P3 normal ,rejects_valid,Bit-field of scoped enumeration type cannot be initialized
98642,2021-01-12,2021-03-29,P1 normal ,rejects_valid,"[10 Regression] wrong ""use of deleted function"" error"
97279,2020-10-03,2021-12-08,P3 normal ,wrong_output,GCC ignores the operation definition of the template
107329,2022-10-20,2023-01-24,P1 normal ,crash,"[13 Regression] ICE in gimplify_expr, at gimplify.cc:17118 since "
96078,2020-07-06,2021-03-11,P2 normal ,diagnostic,[10 Regression] flatten attribute on constructor and destructor causes spurious warning
93143,2020-01-03,2020-01-10,P1 normal ,wrong_output,[10 Regression] Multiple calls to static constexpr member function gives wrong code
96994,2020-09-09,2021-04-20,P3 normal ,wrong_output,Missing code from consteval constructor initializing const variable
100752,2021-05-25,2022-02-01,P2 normal ,rejects_valid,[11 Regression] error: cannot call member function ‘void S::f()’ without object
85646,2018-05-04,2018-09-04,P2 normal ,rejects_valid,[7/8/9 Regression] Incorrect lambda visibility with -fvisibility=hidden
84993,2018-03-20,2018-10-11,P3 normal ,diagnostic,Combination of fieldnames and accessor suggestions for misspelled private fields
83835,2018-01-14,2018-02-16,P3 normal ,rejects_valid,[7/8 Regression] constexpr constructor rejected in c++17 mode (regression WRT c++14)
83956,2018-01-20,2018-01-26,P3 normal ,rejects_valid,[8 regression] error: use of deleted function ‘{anonymous}::a::~a()’
84851,2018-03-13,2018-10-24,P3 enhancement ,diagnostic,missing -Wclass-memaccess for a memcpy in a copy ctor with a non-trivial member
86473,2018-07-11,2021-12-08,P3 normal ,rejects_valid,a problem in member lookup?
83825,2018-01-13,2018-01-16,P4 normal ,crash,"[8 Regression] ICE on invalid C++ code with shadowed identifiers: in operator[], at vec.h:826"
84426,2018-02-16,2018-02-27,P4 normal ,crash,[8 Regression] ICE with conflicting class member names
81942,2017-08-23,2017-10-19,P3 normal ,crash,ICE on empty constexpr constructor with C++14
92068,2019-10-11,2020-03-15,P2 normal ,crash,[8/9/10 Regression] ICE on invalid in process_partial_specialization
105110,2022-03-30,2024-09-02,P3 normal ,rejects_valid,NTTP type deduction fails when dependent of previous NTTPs
99389,2021-03-04,2021-03-05,P3 normal ,others,[modules] bad serialization of data
94951,2020-05-05,2021-10-25,P2 normal ,diagnostic,[8/9 Regression] dereferencing type-punned pointer will break strict-aliasing rules when using super class for a template type
100205,2021-04-22,2021-05-19,P3 normal ,rejects_valid,[11/12 Regression] error: invalid use of non-static data member
89419,2019-02-20,2019-02-23,P2 normal ,crash,[8/9 Regression] ICE in is_normal_capture_proxy starting with 
100517,2021-05-11,2021-05-11,P3 normal ,crash,"[12 Regression] ICE in rvalue, at cp/tree.c:946 since "
100838,2021-05-30,2022-05-13,P2 normal ,wrong_output,[11 Regression] -fno-elide-constructors for C++14 missing required destructor call since 
94590,2020-04-14,2020-05-07,P3 normal ,accepts_invalid,Incorrectly accepts invalid C++11 braced initialisation of double from long double if sizeof(long double)==sizeof(double)
80415,2017-04-13,2018-10-28,P1 normal ,rejects_valid,"[7 Regression]  bogus ""invalid initialization of reference"" error"
101532,2021-07-20,2022-05-11,P1 normal ,crash,"[12 Regression] ICE in finish_expr_stmt, at cp/semantics.c:859"
93905,2020-02-24,2020-02-26,P3 normal ,rejects_valid,[8 Regression] Cannot use Derived type of Base containing both enum and protected destructor
82110,2017-09-06,2021-11-03,P3 normal ,rejects_valid,"Concept for default constructing works with new T, not with new T[1]"
90199,2019-04-22,2020-09-20,P3 normal ,crash,"ICE: tree check: expected complex_cst, have plus_expr in output_constant, at varasm.c:4994"
98329,2020-12-16,2021-01-14,P1 normal ,crash,"[11 Regression] ICE in cp_build_bit_cast, at cp/semantics.c:10730"
103480,2021-11-29,2022-05-10,P2 normal ,diagnostic,[10 Regression] -Werror=useless-cast with constexpr destructor
81888,2017-08-18,2017-12-16,P2 normal ,rejects_valid,[7 Regression] Structured bindings stopped working
96229,2020-07-17,2020-10-13,P3 normal ,accepts_invalid,Invalid specialization accepted when also constrained in base template template parameter
102191,2021-09-03,2023-11-17,P3 normal ,rejects_valid,[C++20] Can't return prvalue with potentially-throwing destructor during constant evaluation
89652,2019-03-11,2019-03-14,P1 normal ,others,[9 Regression] ICE during constexpr evaluation
96560,2020-08-10,2021-06-11,P3 normal ,rejects_valid,Substitution triggers compile-time error when it shouldn't
86374,2018-07-02,2022-12-27,P1 normal ,rejects_valid,[8/9 regression] template member name lookup problem
85060,2018-03-24,2018-04-03,P2 normal ,rejects_valid,"[7/8 Regression] Object cannot call its inherited member function ""without object"""
84578,2018-02-26,2018-03-02,P2 normal ,crash,[6/7 Regression] ICE with flexible array member and constexpr
86763,2018-07-31,2018-08-17,P2 normal ,wrong_output,[7 Regression] Wrong code comparing member of copy of a 237 byte object with nontrivial default constructor on x86-64 arch
84222,2018-02-05,2018-06-25,P2 normal ,diagnostic,[6/7 Regression] [[deprecated]] class complains about internal class usage
87651,2018-10-19,2020-02-26,P2 normal ,rejects_valid,[8 Regression] inner class with template template friend declaration of same name fails to compile
84296,2018-02-08,2018-02-26,P3 normal ,others,[8 Regression] ICE in finish_member_declaration
87531,2018-10-05,2018-12-13,P3 normal ,wrong_output,[8/9 Regression] assignment operator does nothing if performed as a call via operator=
85031,2018-03-22,2018-03-22,P3 normal ,crash,internal compiler error: Segmentation fault (field_accessor_p()/dfs_locate_field_accessor_pre())
85241,2018-04-05,2023-07-07,P3 normal ,rejects_valid,"Requires-expressions, fold expressions, and member function templates with dependent parameters don't play nicely"
85558,2018-04-28,2019-03-13,P3 normal ,crash,ICE in make_rtl_for_nonlocal_decl when using static member of template class
86018,2018-05-31,2022-02-01,P3 normal ,diagnostic,Incorrect unused warning for int passed by reference to lambda
84375,2018-02-13,2018-02-16,P4 normal ,crash,[8 Regression] ICE with friend in local class
85014,2018-03-21,2021-05-14,P4 minor ,crash,"[8 Regression] internal compiler error: in lookup_base, at cp/search.c:185"
92918,2019-12-12,2022-05-12,P2 normal ,rejects_valid,[9/10 Regression] Does not do name lookup when using from base class
102045,2021-08-24,2022-03-28,P2 normal ,others,[11 regression] constructor is not being instantiated
100111,2021-04-16,2022-05-12,P2 normal ,crash,[10 Regression] `-fno-elide-constructors` with `constexpr` ctors causes ICE in GCC 10.3
98744,2021-01-19,2021-01-22,P1 normal ,wrong_output,"[11 Regression] ICE in gimple_call_arg, at gimple.h:3246 since "
103177,2021-11-10,2022-03-15,P3 normal ,diagnostic,incorrect error message for ambiguous lookup with a static member function from a private base
80431,2017-04-14,2021-12-09,P3 normal ,wrong_output,"Use of ""this"" pointer in member initializer causes constructor not to be called (or ICE on gcc 7)"
104641,2022-02-22,2022-03-12,P3 normal ,rejects_valid,Deduction guide for member template class rejected at class scope when used with typename dependant type
90138,2019-04-18,2019-04-19,P4 normal ,crash,[7/8 Regression] ICE on invalid in contains_struct_check()
95678,2020-06-15,2020-06-16,P3 normal ,crash,"[9 Regression] ICE in dependent_type_p, at cp/pt.c:25610"
79501,2017-02-14,2022-05-25,P3 normal ,rejects_valid,member deduction guide not recognized
92776,2019-12-03,2020-01-30,P3 normal ,others,Can't define member function out of line with non-type template parameter
98570,2021-01-06,2021-02-03,P2 normal ,crash,[8/9/10/11 Regression] ICE: canonical types differ for identical types
99374,2021-03-03,2021-04-09,P2 normal ,rejects_valid,[8/9/10 Regression] C++17/20 mode fails to recognise pointer-to-member functions of incomplete types in conditional expression
98332,2020-12-16,2021-09-11,P3 normal ,crash,"[10/11 Regression] ICE in unshare_constructor, at cp/constexpr.c:1527 since "
93559,2020-02-03,2020-02-05,P1 normal ,crash,[10 Regression] ICE: side-effects element in no-side-effects CONSTRUCTOR
94024,2020-03-03,2021-06-25,P3 normal ,diagnostic,Error message has misleading source location for constructor member initialisation.
99033,2021-02-09,2021-04-22,P2 normal ,crash,"[9 Regression] ICE in tree_to_poly_int64, at tree.c:3091"
97523,2020-10-21,2020-11-19,P1 normal ,rejects_valid,"[11 Regression] bogus ""would use explicit constructor"" error for new[]()"
93238,2020-01-12,2021-09-21,P1 normal ,crash,"[10 Regression] ICE in tree check: expected integer_cst, have mult_expr in to_wide, at tree.h:5855 since "
104425,2022-02-07,2022-02-08,P3 normal ,rejects_valid,SFINAE hard error on failed resolution of << for defined class in namespace
103341,2021-11-20,2022-04-12,P2 normal ,crash,[11 Regression] ICE type of variable instantiation constrained on template parameter
89481,2019-02-24,2019-02-26,P3 normal ,others,constexpr function allows writing one active union member and reading another
90171,2019-04-19,2019-05-07,P3 normal ,others,"[9 Regression] ICE in build_op_delete_call, at cp/call.c:6630"
99613,2021-03-16,2021-09-11,P3 normal ,wrong_output,Static variable destruction order race condition
88554,2018-12-19,2019-01-08,P1 normal ,crash,[9 Regression] Segfault ICE when falling off the end of a reference-returning friend operator
84520,2018-02-22,2018-02-27,P2 normal ,crash,[6/7/8 Regression] ICE with lambda and static member function
84820,2018-03-11,2019-11-14,P2 normal ,accepts_invalid,[7 Regression]  Bogus pointer-to-member accepted within template
86953,2018-08-14,2021-05-14,P2 normal ,crash,"[8 Regression] compiler crashes with constexpr operator== and specific struct (cxx_eval_bit_field_ref, at cp/constexpr.c:2704)"
87506,2018-10-03,2019-08-30,P2 normal ,crash,[7 Regression] ICE with inherited constexpr constructor with const argument
87571,2018-10-10,2021-05-14,P2 normal ,crash,"[8 Regression] ICE in friend_accessible_p, accessing protected member of template friend inside template class"
83912,2018-01-17,2024-05-01,P3 normal ,rejects_valid,"[constexpr] struct with a pointer to one of its members, returned by a function, is not a constant expression"
94041,2020-03-05,2024-11-29,P1 normal ,wrong_output,[10 Regression] temporary object destructor called before the end of the full-expression since 
70272,2016-03-17,2024-10-26,P2 normal ,wrong_output,[5 Regression] -flifetime-dse miscompilation starting with 
94175,2020-03-14,2020-03-20,P1 normal ,others,[10 Regression] Passing constexpr empty class variable to function since 
93310,2020-01-17,2020-12-09,P3 normal ,wrong_output,Incorrect constexpr virtual evaluation inside a constructor
90538,2019-05-20,2019-08-12,P3 normal ,others,[9/10 Regression] Redeclaration error when expanding parameter pack multiple times in a lambda
94102,2020-03-09,2021-04-29,P3 normal ,rejects_valid,Variadic template deduction guide issue - error: 'In instantiation of'
89761,2019-03-18,2021-08-12,P3 normal ,crash,"[9 Regression] ICE: tree check: expected class 'expression', have 'exceptional' (argument_pack_select)"
99844,2021-03-31,2021-04-08,P2 normal ,crash,[9/10 Regression] ICE: unexpected expression 'B' of kind template_parm_index
95371,2020-05-27,2020-06-01,P3 normal ,crash,[10/11 Regression] ICE concepts with template template parameter since 
80746,2017-05-15,2020-02-06,P3 normal ,others,[concepts] ICE evaluating constraints for concepts with dependent template parameters
94926,2020-05-02,2020-05-28,P3 normal ,accepts_invalid,[9/10/11 regression] invalid use of incomplete type not recogniced for static self reference of templated struct since 
98930,2021-02-02,2021-10-05,P3 normal ,crash,ICE with static variable in template function used as template argument
89217,2019-02-06,2019-02-17,P1 normal ,rejects_valid,"[9 Regression] ICE tree check: expected constructor, have error_mark in split_nonconstant_init_1"
103968,2022-01-10,2022-03-28,P2 normal ,crash,[11 Regression] ICE and segfault when instantiating template with lvalue ref argument and nested template type
88979,2019-01-22,2019-03-13,P3 normal ,rejects_valid,[C++20] P0634R3 not working for constructor parameter types
96199,2020-07-14,2023-03-09,P2 normal ,others,[10/11 Regression] internal compiler error: in tsubst_copy with CTAD for alias templates
93248,2020-01-13,2020-03-16,P2 normal ,crash,[8/9/10 Regression] ICE in decltype of template constructor with default argument within a class template since 
101988,2021-08-19,2022-01-27,P1 normal ,accepts_invalid,[12 Regression] Accepts invalid new-expression of array of deduced class template
97679,2020-11-02,2022-05-04,P2 normal ,crash,[10 Regression] [concepts] ICE with CTAD for a nested class template with constrained constructor
98844,2021-01-27,2021-02-12,P3 normal ,accepts_invalid,Deduction guides don't inhibit the aggregate deduction candidate
105734,2022-05-26,2022-06-01,P2 normal ,rejects_valid,"[12/13 Regression]: Incorrect ""error: invalid use of 'auto'"" for explicit destructor inside a template"
94775,2020-04-26,2021-04-09,P2 normal ,crash,"[8/9/10 Regression] ICE in strip_typedefs, at cp/tree.c:1734 since "
92103,2019-10-15,2020-11-25,P3 normal ,rejects_valid,constraints not checked on nested class template
91826,2019-09-19,2024-09-25,P2 normal ,rejects_valid,[8/9/10 Regression] Unexpected behavior when class defined with namespace alias
100502,2021-05-10,2022-05-15,P1 normal ,crash,[11/12 Regression] ICE in enforce_access at cp/semantics.c:368 since 
96840,2020-08-29,2021-12-30,P3 normal ,rejects_valid,[11 Regression] Recursive substitution in constrained commutative operator
98413,2020-12-21,2020-12-23,P1 normal ,crash,[11 Regression] ICE on placement new and member pointer
89050,2019-01-24,2021-08-27,P3 normal ,rejects_valid,[8 Regression] GCC sometimes requires this to be captured when doing overload resolution but selecting a static member function
90546,2019-05-20,2020-02-26,P2 normal ,wrong_output,[9/10 Regression] Incorrect template argument deduction for conversion functions
91377,2019-08-06,2020-04-04,P2 normal ,crash,"[8/9/10 Regression] ICE with non-static block scope constexpr, captured in lambda, used as template parameter"
95999,2020-06-30,2022-03-10,P4 trivial ,crash,"[9/10/11/12 Regression] ICE in tree check: expected integer_cst, have var_decl in get_len, at tree.h:5951"
101767,2021-08-03,2022-05-12,P1 normal ,rejects_valid,[11 Regression] Aggregate initialization fails for struct that has both unnamed struct and union fields
95369,2020-05-27,2021-07-27,P3 normal ,accepts_invalid,braced-init-list with designated initializers as template-argument rejected
80178,2017-03-24,2017-05-19,P3 normal ,wrong_output,Class with deleted copy and move constructors uses wrong argument passing ABI
79064,2017-01-11,2021-08-12,P3 normal ,rejects_valid,Cannot overload member function templates on type of literal
104647,2022-02-22,2023-02-02,P2 normal ,crash,"[10/11/12/13 Regression] ICE in get_or_insert_ctor_field, at cp/constexpr.cc:3705 since "
92134,2019-10-17,2019-10-30,P3 normal ,accepts_invalid,static constinit members incorrectly compile
107280,2022-10-16,2023-03-15,P2 normal ,crash,"[10/11 Regression] ICE: tree check: expected constructor, have view_convert_expr in cxx_eval_store_expression, at cp/constexpr.cc:5928"
93805,2020-02-18,2022-05-27,P2 normal ,diagnostic,[9 Regression] A suspicious -Werror=noexcept warning since 
79796,2017-03-01,2017-03-07,P2 normal ,crash,[5 Regression] ICE with NSDMI and this pointer
103936,2022-01-07,2022-01-07,P3 blocker ,crash,[12 Regression] ICE with cs[5]{}
100963,2021-06-08,2021-06-08,P3 normal ,wrong_output,[11/12 Regression] GCC 11 regression: templated constructor with std::initializer_list<T> is not selected
92907,2019-12-11,2020-01-22,P3 normal ,wrong_output,"noexcept does not consider ""const"" in member functions"
103783,2021-12-21,2022-01-10,P3 normal ,rejects_valid,Ambiguous overload between constrained static member and unconstrained non-static member
104846,2022-03-08,2024-10-31,P4 normal ,crash,"[10/11/12 Regression] ICE: tree check: expected function_decl, have field_decl in grokmethod, at cp/decl.cc:17999"
79474,2017-02-12,2017-10-18,P3 normal ,others,Multiple definitions of user-defined conversion operator cause ICE (internal compiler error)
100763,2021-05-26,2021-07-22,P3 normal ,diagnostic,Diagnostics of type alias is missing scope
82299,2017-09-22,2017-10-06,P3 normal ,diagnostic,-Wuseless-cast errors on typed enums used in member data initializers in c++1z
79746,2017-02-28,2021-07-18,P3 normal ,others,[7 Regression] Confusing -Wunused-but-set-parameter warning with virtual inheritance
99365,2021-03-03,2021-03-07,P1 normal ,rejects_valid,[11 Regression] ICE on partial specialization with constrained placeholder NTTP
101098,2021-06-16,2022-12-07,P3 normal ,others,[11/12 Regression] ICE with explicit specialization of constrained function template
98644,2021-01-12,2023-05-21,P2 normal ,crash,"[10/11 Regression] [concepts] ICE in satisfaction_value, at cp/constraint.cc:2825"
96623,2020-08-15,2021-01-22,P1 normal ,crash,"[11 Regression] ICE in inject_parm_decls, at cp/parser.c:23893"
91606,2019-08-30,2019-10-16,P3 normal ,wrong_output,[9 regression] Optimization leads to invalid code
85277,2018-04-07,2018-04-09,P1 normal ,diagnostic,[8 Regression] Broken diagnostic for offsetof with static member function
84434,2018-02-18,2018-03-01,P1 normal ,others,"[8 Regression] internal compiler error: tree check: expected var_decl or field_decl or function_decl or type_decl or template_decl, have using_decl in build_deduction_guide, at cp/pt.c:25636"
86823,2018-08-01,2021-05-14,P2 normal ,accepts_invalid,[8 Regression] private member template struct/class is publicly accessible
85141,2018-03-31,2018-04-05,P2 normal ,crash,[6/7/8 Regression] ICE with pointer arithmetic of static member function address
88183,2018-11-24,2020-02-24,P2 normal ,crash,[8 Regression] Fold expression with operator .* inside an polymorphic lambda
84590,2018-02-27,2018-03-02,P2 normal ,others,"[7 Regression] -fsanitize=undefined internal compiler error: tree check: expected constructor, have target_expr in split_nonconstant_init_1, at cp/typeck2.c:629"
87652,2018-10-19,2020-02-26,P2 normal ,rejects_valid,[8 Regression] inner class template of outer class template can't access friend's protected data member
88528,2018-12-17,2019-11-14,P2 normal ,crash,[7 Regression] ICE with templated operator bool() in gcc 7
85061,2018-03-24,2018-03-28,P3 normal ,crash,ICE with __builtin_offsetof applied to static member
