	Unnamed: 0	Issue ID	Title
0	0	88672	friend class template declaration in a class template is ignored
1	1	88746	structs: internal compiler error: in output_constructor_regular_field, at varasm.c:5030
2	2	88744	class non-type template parameters doesn't work with default template parameters
3	3	88816	Constructor calls itself recursively
4	4	88825	[7/8/9 Regression] ICE on (invalid) C++11 code: tree check: expected class ‘type’, have ‘exceptional’ (error_mark) in can_do_nrvo_p, at cp/typeck.c:9361
5	5	89220	Inconsistent behaviour of class template type deduction
6	6	88995	[8/9 Regression] internal compiler error: in lookup_template_class_1, at cp/pt.c:9471
7	7	88699	[9 Regression] tree check fail: expected function_decl, have using_decl in add_method, at cp/class.c:1137
8	8	88741	"[9 Regression] Spurious ""too long"" error inside template"
9	9	88830	[9 Regression] ice in maybe_emit_vtables
10	10	89036	[8 Regression] ICE if destructor has a requires
11	11	89217	[9 Regression] ICE tree check: expected constructor, have error_mark in split_nonconstant_init_1
12	12	88787	[9 regression] C++ constexpr seems to not get expanded
13	13	88969	[9 Regression] ICE in build_op_delete_call, at cp/call.c:6509
14	14	88864	default template arguments not merged across all declarations
15	15	88866	[9 Regression] g++.dg/cpp0x/variadic126.C fails with -std=c++2a
16	16	88865	[[no_unique_address]] leads to sizeof(T) == 0, which cannot be
17	17	88692	"[9 Regression] Spurious ""redundant move in return statement"""
18	18	88875	[9 regression] initializer_list and explicit ctor
19	19	88977	__builtin_is_constant_evaluated() as function template argument causes substitution failure
20	20	89257	Bad optimisation at -O3 with vector of pairs
21	21	89024	[7 Regression] ICE testing convertibility of incomplete enumeration types
22	22	89083	[9 Regression] ICE in reshape_init_r, at cp/decl.c:6172
23	23	88757	[9 Regression] GCC wrongly treats dependent name as a type when it should be treated as a value
24	24	88815	[9 Regression] is_constexpr (based on narrowing conversion and expression SFINAE) broken
25	25	89056	Optimizer generates bad code for non-void function that fails to return a value
26	26	88988	[8 Regression] ICE: Segmentation fault (in lookup_name_real_1)
27	27	89158	[8 Regression] by-value capture of ICE variable isn't an lvalue?
28	28	89633	Inner class cannot pass a lambda to a template function in outer class
29	29	89119	[7 Regression] internal compiler error: in tsubst_copy with RANGE_EXPR
30	30	89105	-Wabi warns for functions with internal linkage
31	31	89320	[9 regression] r268774 caused: FAIL: gnat.dg/vect5.adb
32	32	88979	[C++20] P0634R3 not working for constructor parameter types
33	33	89356	[9 Regression] sorry, unimplemented: mangling implicit_conv_expr in nodejs8 package since r268321
34	34	88680	[9 Regression] bogus -Wtype-limits for constant expressions after r267272
35	35	89391	[9 Regression] ICE in build_target_expr_with_type, at cp/tree.c:795
36	36	89429	ICE with __func__
37	37	89390	[9 Regression] ICE in get_string, at spellcheck-tree.h:46
38	38	89419	[8/9 Regression] ICE in is_normal_capture_proxy starting with r253601
39	39	89486	GCC fails to compile designated initializer use involving implicit conversion
40	40	89212	[8 Regression] ICE in fold_convert_loc at fold-const.c:2552
41	41	89507	"[9 Regression] bogus ""size of array exceeds maximum object size"""
42	42	89488	[9 Regression] ICE in merge_exception_specifiers, at cp/typeck2.c:2395
43	43	89513	constexpr functions with function try block shouldn't be accepted at least with -pedantic in -std=c++{11,14,17} modes
44	44	89532	[9 Regression] internal compiler error: in type_has_nontrivial_copy_init, at cp/tree.c:4024
45	45	89568	constexpr functions are implicitly noexcept
46	46	89331	[8/9 Regression] internal compiler error: in build_simple_base_path, at cp/class.c:589
47	47	89974	ICE on a definition of a non-type specialization on a struct object with pointer to member function
48	48	89878	same specializations on a zero-initialized struct object as a non-type parameter treated as distinct
49	49	89622	G++ prints notes, but no warning or error
50	50	89648	[9 Regression] rejects-valid error starting with r268850
51	51	89660	[9 Regression] Rejects-valid error with -Wredundant-move starting with r269427
52	52	90138	[7/8 Regression] ICE on invalid in contains_struct_check()
53	53	89709	"[9 Regression] ICE with constexpr and ""-O"""
54	54	89727	static thread_local ODR use broken
55	55	89715	ICE deep in C++ frontend building g++.dg/cpp0x/cond1.C
56	56	89682	[9 Regression] g++9 incorrectly disallows using private static method as default arg to ctor of template type
57	57	89630	[9 Regression] FAIL: g++.dg/cpp0x/alias-decl-64.C
58	58	89814	[9 Regression] ICE (segfault) with -Wduplicated-cond
59	59	90300	control reaches end of non-void function warning despite exhaustive switch for enum class
60	60	89850	long compile times with -fsanitize=undefined and -Wduplicated-branches
61	61	89241	[9 Regression] ICE in enclosing_instantiation_of, at cp/pt.c:13380
62	62	89854	"diagnostic differences between misuse of ""."" and ""->"""
63	63	89836	converted constant expression of type bool and explicit conversion functions
64	64	89852	[9 Regression] ICE: unexpected expression of kind implicit_conv_expr
65	65	90172	[8/9/10 Regression] ICE: Segmentation fault (in contains_struct_check)
66	66	89571	[9 Regression] ICE in nothrow_spec_p, at cp/except.c:1238
67	67	89919	[8/9 Regression] internal compiler error when building MKL-DNN
68	68	89596	[8/9 regression] Multiple templated conversion operators result in compilation error
69	69	89833	[9 Regression] sorry, unimplemented: string literal in function template signature
70	70	90532	[8/9/10 Regression] is_constructible_v<int[]> and is_default_constructible_v<int[]> should agree
71	71	89914	[9 Regression] ICE in nothrow_spec_p, at cp/except.c:1238
72	72	90029	optimizing local exceptions, or are they an observable side effect
73	73	90080	[8 Regression] SFINAE failure with static_cast
74	74	90654	GCC doesn't value-initialize base class with trivial default constructor, resulting in uninitialized data
75	75	90124	[9 Regression] Compilation of llvm PDBContext.cpp fails.
76	76	89900	[9 Regression] ICE: Segmentation fault (in check_instantiated_arg)
77	77	90598	[9/10 Regression] Return type of explicit destructor call wrong
78	78	90227	[9 Regression] trunk rejects polymake since r269965
79	79	89949	Internal compiler error with lambda as template argument
80	80	90010	[8 Regression] valgrind error with snprintf and -Wall
81	81	89422	[8 Regression] ICE in field_byte_offset, at dwarf2out.c:19086
82	82	90754	[10 Regression] ICE: tree check: expected tree that contains ‘decl minimal’ structure, have ‘tree_list’ in lookup_type_scope_1, at cp/name-lookup.c:6492 since r271912
83	83	90173	[9 Regression] ICE: Segmentation fault (in strip_declarator_types)
84	84	89612	[7/8 Regression] internal compiler error: in push_access_scope, at cp/pt.c:237
85	85	89705	[7/8 Regression] ICE in convert_like_real, at cp/call.c:7334
86	86	89876	[8 Regression] ICE in convert_like_real on decltype expression involving string conversion to char*
87	87	89214	[7/8 Regression] ICE in digest_init_r, at cp/typeck2.c:1211 with -std=c++17
88	88	88857	[7/8 Regression] ICE in build_value_init
89	89	90171	[9 Regression] ICE in build_op_delete_call, at cp/call.c:6630
90	90	90265	[9/10 Regression] ICE in build_call_a at gcc/cp/call.c:396 since r268377
91	91	90383	[9 Regression] GCC generates invalid constexpr copy/move assignment operators for types with trailing padding. (Again)
92	92	91064	__is_standard_layout incorrect for a class with multiple bases
93	93	91110	[10 Regression] ICE: tree check: expected class 'type', have 'exceptional' (error_mark) in cp_omp_mappable_type_1, at cp/decl2.c:1421
94	94	90100	[P0732] Cannot write a type-trait matching non-type class template parameters
95	95	90099	[P0732] Partial specialization of a class template with variadic parameter pack fails after adding non-type template parameter
96	96	90098	[P0732] Partial specialization of a class template with variadic parameter pack fails
97	97	90572	[9/10 Regression] Wrong disambiguation in friend declaration as implicit typename context
98	98	90548	[9/10 Regression] ICE in tsubst_copy_and_build, at cp/pt.c:18877
99	99	90803	gcc accepts invalid code
100	100	90449	No way to turn off warning about inaccessible base
101	101	91271	class template specialization on std::array failed
102	102	90850	template parameters do not match
103	103	90832	[9 Regression] ICE in cxx_eval_constant_expression at gcc/cp/constexpr.c:2314
104	104	90897	user defined conversion operators ambiguous in GCC8, but not GCC7 and GCC9
105	105	90940	[9/10 Regression] Miscompilation of ternary operator with throw expression in return statement
106	106	91479	Template deductions fails for static template member with default template parameter when inside template class
107	107	89873	internal compiler error: unexpected expression of kind implicit_conv_expr
108	108	90909	[10 Regression] call devirtualized to pure virtual
109	109	90881	-Wunused-value false positive in SFINAE context
110	110	89480	internal compiler error: in unify, at cp/pt.c:22160 with the template argument force conversion
111	111	91032	[9/10 Regression] ICE in ocp_convert, at cp/cvt.c:766
112	112	90490	[9 Regression] ICE on noexcept with decltype expression
113	113	91070	Spurious notes about uninitialized members in C++17
114	114	91184	memory leak with enable_shared_from_this and pthread
115	115	90455	braced-init and incomplete type instantiation
116	116	90101	[P0732] Error using non-type template parameter in a template template argument
117	117	91270	[10 Regression] ICE in verify_use at gcc/tree-ssa.c:883 since r273791
118	118	89906	[8 Regression] template template parameter redeclared
119	119	91350	ICE in gimple_call_arg, at gimple.h:3190 during GIMPLE pass: cddce with options -O1 -fipa-sra
120	120	91230	[9/10 Regression] Template function containing lambda expression that has auto parameter and uses __PRETTY_FUNCTION__ does not compile
121	121	91122	alignas gives up evaluating a constant expression in template context
122	122	91334	[10 Regression] ICE in propagate_necessity at gcc/tree-ssa-dce.c:813 since r273791
123	123	90538	[9/10 Regression] Redeclaration error when expanding parameter pack multiple times in a lambda
124	124	90884	Option `-Wctor-dtor-privacy' enables warning even for system headers
125	125	91141	Can't use class members inside conditional noexcept specifier
126	126	91673	[10 Regression] GCC ICE when partially specialising class template on a function-signature type with deduced noexcept qualifier
127	127	91521	[9/10 Regression] expression incorrectly evaluated as function with trailing return type
128	128	91002	ICE in make_ssa_name_fn, at tree-ssanames.c:271 with VLA type in reinterpret_cast
129	129	91850	linker can not locate constexpr static class array member when code compiled without optimization
130	130	91874	ICE compiling constexpr function using another struct's member as array size in template
131	131	91868	wrong location info with -Wshadow on C++ constructors
132	132	91845	[8/9/10 Regression] ICE: tree check: expected class 'type', have 'exceptional' (error_mark) in build_m_component_ref, at cp/typeck2.c:2086
133	133	91098	[10 Regression] internal compiler error: tree check: expected var_decl or field_decl or function_decl or type_decl or template_decl, have using_decl in build_deduction_guide, at cp/pt.c:27167
134	134	91923	[9 Regression] Failure-to-SFINAE with class type NTTP in C++17
135	135	92001	missing -Wclass-memaccess with array as first argument to memset
136	136	89512	[7 Regression] ICE in get_expr_operands, at tree-ssa-operands.c:882
137	137	89403	[7 Regression] ICE in maybe_clone_body, at cp/optimize.c:693
138	138	89187	[7 Regression] ICE in initialize_argument_information, at calls.c:2023
139	139	88976	[7 Regression] ICE in fold_convert_loc, at fold-const.c:2552
140	140	92084	[10 Regression] ICE: tree check: expected tree that contains 'decl minimal' structure, have 'compound_expr' in gimplify_scan_omp_clauses, at gimplify.c:9039
141	141	88949	ICE in expand_expr_real_1, at expr.c:10001 with -fopenmp
142	142	91129	[9 Regression] Implicit casts fail for modulo operator
143	143	89392	[7 Regression] ICE in bitmap_bit_p, at bitmap.c:978
144	144	91155	__PRETTY_FUNCTION__ gets truncated when char template parameter is '\0'
145	145	89698	[7 Regression] Run-time error due to optimization of field access after cast at -Os/-O2 and higher
146	146	91675	[9/10 Regression] Memory corruption with std::function
147	147	91925	[9/10 Regression] -fpack-struct causes a decltype with template to ICE
148	148	92062	[9 Regression] ODR-use by static_assert ignored for static member of class template
149	149	92106	[8 Regression] ICE with structured bindings and -Wreturn-local-addr
150	150	91697	Cannot use this in noexcept specifier
151	151	91581	ICE on usage requiring complete class in exception-specification of defaulted method
152	152	91701	ICE in condiional noexcept on lambda
153	153	91757	Function block scope thread_local variable with unique global symbol linkage is not unique at run-time.
154	154	91705	[9 Regression] operator++ broken in constexpr floating point code
155	155	91809	in c++ bit-field is not promoted to int in printf argument
156	156	90825	[9 Regression] g++: internal compiler error: Segmentation fault signal terminated program cc1plus
157	157	91877	[10 Regression] ICE in convert_like_real, at cp/call.c:7385 since r276058
158	158	91904	Arduino IDE will not upload program
159	159	92400	Incorrect selection of constructor overload for brace list
160	160	92423	Reference assigned from a ternary results in destructor call
161	161	92058	constinit disregards non-constexpr constructor
162	162	92049	[10 Regression] bogus errors with -fchecking=2
163	163	92070	[10 regression] -fchecking=2 error: taking address of rvalue
164	164	92011	'<anonymous>' may be used uninitialized in this function with std::optional<T>()
165	165	92092	Spurious warning: '<anonymous>' may be used uninitialized in this function
166	166	92089	[concepts] requires-expression results in hard error during constraint checking
167	167	92519	"Spurious ""note: ... has no user-provided default constructor"""
168	168	91606	[9 regression] Optimization leads to invalid code
169	169	92198	"error ""different exception specifier"" with forward referring noexcept condition"
170	170	92221	"[9/10 Regression] template argument deduction/substitution failed after ""Implement P0846R0, ADL and function templates"""
171	171	92393	Uniform initialization of non-copiable class data member cause to error
172	172	92414	[10 Regression] internal compiler error: tree check: expected constructor, have error_mark in cxx_eval_store_expression, at cp/constexpr.c:4009
173	173	92238	constexpr fails to compile 2d std::array in gcc 10 master
174	174	92504	[9 Regression] ICE on gcc-9 -fopenmp: internal compiler error: tree check: expected tree that contains 'decl common' structure, have 'baselink' in get_inner_reference, at expr.c:7238
175	175	92450	[10 Regression] ICE: tree check: expected tree that contains 'decl minimal' structure, have 'error_mark' in cp_parser_member_declaration, at cp/parser.c:25055
176	176	91662	[concepts] unable to deduce placeholder type, should be accepted
177	177	92182	No way to silence ''A::TKind' is too small to hold all values of 'enum Kind''
178	178	91548	[10 Regression] Regression in constexpr evaluation of std::array
179	179	92134	static constinit members incorrectly compile
180	180	89192	-Wuninitialized doesn't warn about a vector initialization with uninitialized field
181	181	92268	[concepts] hard error satisfying return-type-requirement
182	182	92339	[10 Regression] ICE at cp/typeck.c:1510
183	183	92215	flawed diagnostic for bit-field with non-integral type
184	184	91121	ICE with type deduction guides and CRTP base class
